Generation,Minimum Fitness,Maximum Fitness,Average Fitness,Standard deviation
432,0.0,4.233,0.378,0.819
433,0.0,3.967,0.362,0.784
434,0.0,4.2,0.384,0.825
435,0.0,4.1,0.387,0.837
436,0.0,4.267,0.376,0.833
437,0.0,3.867,0.357,0.794
438,0.0,3.667,0.355,0.766
439,0.0,3.867,0.399,0.835
440,0.0,3.9,0.358,0.792
441,0.0,3.8,0.384,0.799
442,0.0,4.333,0.395,0.852
443,0.0,4.0,0.406,0.831
444,0.0,4.267,0.407,0.866
445,0.0,4.0,0.368,0.799
446,0.0,3.9,0.347,0.791
447,0.0,3.9,0.357,0.803
448,0.0,4.067,0.383,0.815
449,0.0,3.967,0.365,0.801
450,0.0,3.833,0.38,0.805
451,0.0,4.2,0.39,0.839
452,0.0,4.067,0.383,0.819
453,0.0,4.2,0.396,0.852
454,0.0,3.967,0.372,0.797
455,0.0,3.933,0.376,0.816
456,0.0,4.333,0.393,0.847
457,0.0,3.867,0.377,0.821
458,0.0,3.733,0.364,0.778
459,0.0,3.9,0.373,0.802
460,0.0,4.2,0.414,0.874
461,0.0,4.367,0.405,0.853
462,0.0,3.767,0.398,0.8
463,0.0,3.8,0.372,0.784
464,0.0,3.867,0.369,0.805
465,0.0,3.9,0.349,0.785
466,0.0,4.0,0.368,0.814
467,0.0,4.167,0.404,0.863
468,0.0,3.8,0.378,0.8
469,0.0,3.967,0.403,0.821
470,0.0,3.633,0.363,0.775
471,0.0,3.867,0.375,0.802
472,0.0,3.867,0.376,0.798
473,0.0,4.0,0.392,0.83
474,0.0,4.133,0.367,0.801
475,0.0,3.733,0.35,0.775
476,0.0,4.367,0.366,0.815
477,0.0,4.2,0.382,0.827
478,0.0,4.267,0.385,0.826
479,0.0,3.967,0.385,0.828
480,0.0,3.967,0.393,0.821
481,0.0,4.1,0.392,0.829
482,0.0,3.9,0.358,0.788
483,0.0,3.6,0.368,0.797
484,0.0,4.067,0.4,0.864
485,0.0,3.867,0.387,0.818
486,0.0,3.8,0.374,0.801
487,0.0,4.133,0.362,0.814
488,0.0,4.333,0.4,0.86
489,0.0,4.233,0.393,0.849
490,0.0,3.967,0.387,0.815
491,0.0,3.867,0.356,0.776
492,0.0,3.767,0.352,0.765
493,0.0,4.267,0.373,0.834
494,0.0,4.133,0.381,0.818
495,0.0,4.233,0.383,0.852
496,0.0,4.333,0.372,0.823
497,0.0,4.167,0.378,0.817
498,0.0,3.833,0.359,0.781
499,0.0,3.867,0.364,0.794
500,0.0,4.167,0.387,0.833
